INFO:root:Epoch 0/24
INFO:root:----------
INFO:root:class_loss: 0.008287760429084301, open_set_loss: 0.00013634748756885529
INFO:root:class_loss: 0.0018766754074022174, open_set_loss: 0.00013573653995990753
INFO:root:class_loss: 0.010549993254244328, open_set_loss: 0.00012963078916072845
INFO:root:class_loss: 0.02789829671382904, open_set_loss: 0.00013089925050735474
INFO:root:class_loss: 0.0048266747035086155, open_set_loss: 0.00013669580221176147
INFO:root:class_loss: 0.0022141507361084223, open_set_loss: 0.0001320578157901764
INFO:root:class_loss: 0.021298518404364586, open_set_loss: 0.0001313481479883194
INFO:root:class_loss: 0.0025110698770731688, open_set_loss: 0.00012856535613536835
INFO:root:class_loss: 0.0007165907882153988, open_set_loss: 0.00013466108066495508
INFO:root:train Loss: 0.0003 Acc: 0.9970
INFO:root:class_loss: 0.002073234412819147, open_set_loss: 0.0001313779503107071
INFO:root:class_loss: 0.0010291612707078457, open_set_loss: 0.000130506232380867
INFO:root:class_loss: 0.0019250356126576662, open_set_loss: 0.00013155117630958557
INFO:root:class_loss: 0.004105092491954565, open_set_loss: 0.00013015791773796082
INFO:root:class_loss: 0.00011934831854887307, open_set_loss: 0.00013118423521518707
INFO:root:class_loss: 0.0007545743719674647, open_set_loss: 0.00013208389282226562
INFO:root:class_loss: 0.003867687191814184, open_set_loss: 0.00013110414147377014
INFO:root:class_loss: 0.0054507628083229065, open_set_loss: 0.00013289228081703186
INFO:root:class_loss: 0.006106976885348558, open_set_loss: 0.00013269484043121338
INFO:root:class_loss: 0.001546691171824932, open_set_loss: 0.00013248994946479797
INFO:root:class_loss: 0.004317915067076683, open_set_loss: 0.00013190694153308868
INFO:root:class_loss: 4.259390334482305e-05, open_set_loss: 0.00013299421698320657
INFO:root:val Loss: 0.0003 Acc: 0.9988
INFO:root:Epoch 6/24
